{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 0, 0, 385855), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 0, 24, 473023), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 0, 48, 565036), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 1, 12, 657004), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 1, 36, 744957), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 2, 0, 835185), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 2, 24, 923852), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 2, 49, 13184), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 3, 13, 100059), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 3, 37, 192267), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 4, 1, 280273), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 4, 25, 374425), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 4, 49, 475712), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 5, 13, 580499), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 3, 5, 37, 668177), 'humidity': '11', 'signature': 'AE6C88FE'}
